姓名,名称,分类,位置,专家,评价,定位
Way2Hungry,牛New寿喜烧,日料,西溪天街,False,"一家自助火锅店。价位较高，但是肉的品质不错、种类很多，味道也很不错。饮料的种类很多，自助甜品也很好吃。",偶尔尝鲜
Way2Hungry,凑凑火锅,火锅,西溪天街,False,"火锅店，但是最出彩的是他们的奶茶。环境很好，菜品摆盘好，看起来很高级（）不过个人认为味道弗如海底捞。",偶尔尝鲜、纪念日约会
Way2Hungry,烤匠,川菜,西溪天街,False,"在成都很火的烤鱼店，很多本地人都爱吃。烤鱼做得不错，价位也还行。值得一提的是他们家的甜品很好吃。",偶尔尝鲜、寝室聚餐
Way2Hungry,浅草屋日本料理,日料,西溪天街,False,"平价日料店，味道还不错。抹茶布丁很好吃。",偶尔尝鲜
Way2Hungry,酥脆肉夹馍,小吃快餐,西三门桥头,False,"一个流动小摊，售卖肉夹馍，通常位于西三门到西溪天街途径的桥上。10r一个肉夹馍，味道很香，里面的肉也挺多。由于要和城管斗智斗勇，叔叔阿姨会在肉夹馍微信群通知自己的位置、宣布营业开始与结束。",日常口粮
Way2Hungry,外婆家,浙菜,西溪银泰,True,"江浙菜、预制菜。价格合理，味道不错。如果不知道吃什么的话，去外婆家总不会错。",偶尔尝鲜
Way2Hungry,black camp bar,清吧,西溪银泰,False,"一家清吧，调制酒味道不错。环境很好，店里还有可爱的猫和狗。",来喝酒鸭
Way2Hungry,老妈妈卷饼,小吃快餐,堕落街,False,"堕落街上最火的店铺，每次都有很多人排队买。味道不错，注意是从下午开始营业，中午时间段并不营业。",日常口粮
Way2Hungry,膳当家,小吃快餐,堕落街,False,"主打售卖黄焖鸡米饭，好吃且价格处于正常区间。中午上完课可以抽空去吃。",日常口粮
Way2Hungry,重庆鸡公煲,川菜,堕落街,False,"味道好、价格实惠，就是上菜时间不够快所以不能作为日常口粮。",偶尔尝鲜
Way2Hungry,肉本家,韩餐,剑桥公社,False,"一家非常大的韩式烤肉店，排队的人很多。本人觉得味道相较于别的烤肉店没有很出彩，但是价格偏贵，人均100+。优点是店里环境很好，所以说适合约会（笑）",纪念日约会
Way2Hungry,朴代表,韩餐,剑桥公社,False,"因为是韩式烤肉所以口味和其他的都差不多。店里的饮料很好喝。服务不错，会主动帮忙烤肉。价格也偏贵。（毕竟这是杭州）",约会、聚餐
Way2Hungry,铁木真碳烤羊腿,烧烤,剑桥公社,False,"它们家的烤羊腿特别好吃，强烈推荐！价格也在正常区间内。",夜宵聚餐
Way2Hungry,托尼家Tony's,东南亚菜,北街,False,"一家东南亚菜系的餐馆，味道不错、价格实惠。海鲜炒饭和烤春鸡很好吃。在店里经常可以看见用餐的东南亚外国友人。",适合2-6人聚餐
Way2Hungry,青蔬,麻辣烫,北街,False,"普普通通的麻辣烫，和其他麻辣烫差别不大。优点是食材种类、汤底口味选择丰富，缺点是价格偏贵。",日常口粮
